epoch,raw_data_sleepMat,PulseOximeter_results
1473817340488,8966,109
1473817340508,8888,109
1473817340528,8800,109
1473817340548,8711,109
1473817340568,8674,109
1473817340588,8687,109
1473817340608,8701,109
1473817340628,8701,109
1473817340648,8655,109
1473817340668,8558,109
1473817340688,8465,109
1473817340708,8404,109
1473817340728,8364,109
1473817340748,8264,109
1473817340768,8159,109
1473817340788,8128,109
1473817340808,8152,109
1473817340828,8191,109
1473817340848,8170,109
1473817340868,8116,109
1473817340888,8078,109
1473817340908,8066,109
1473817340928,8099,109
1473817340948,8136,109
1473817340968,8110,109
1473817340988,8136,109
1473817341008,8129,108
1473817341028,8123,108
1473817341048,8147,108
1473817341068,8158,108
1473817341088,8196,108
1473817341108,8284,108
1473817341128,8401,108
1473817341148,8522,108
1473817341168,8616,108
1473817341188,8658,108
1473817341208,8619,108
1473817341228,8580,108
1473817341248,8568,108
1473817341268,8526,108
1473817341288,8512,108
1473817341308,8555,108
1473817341328,8604,108
1473817341348,8603,108
1473817341368,8576,108
1473817341388,8555,108
1473817341408,8552,108
1473817341428,8566,108
1473817341448,8609,108
1473817341468,8652,108
1473817341488,8686,108
1473817341508,8730,108
1473817341528,8804,108
1473817341548,8881,108
1473817341568,8946,108
1473817341588,9026,108
1473817341608,9154,108
1473817341628,9305,108
1473817341648,9417,108
1473817341668,9484,108
1473817341688,9505,108
1473817341708,9498,108
1473817341728,9478,108
1473817341748,9520,108
1473817341768,9480,108
1473817341788,9293,108
1473817341808,9188,108
1473817341828,9160,108
1473817341848,9187,108
1473817341868,9368,108
1473817341888,9590,108
1473817341908,9748,108
1473817341928,9818,108
1473817341948,9837,108
1473817341968,9864,108
1473817341988,9913,108
1473817342008,10048,108
1473817342028,10240,108
1473817342048,10460,108
1473817342068,10605,108
1473817342088,10657,108
1473817342108,10590,108
1473817342128,10448,108
1473817342148,10385,108
1473817342168,10404,108
1473817342188,10368,108
1473817342208,10256,108
1473817342228,10108,108
1473817342248,10006,108
1473817342268,9982,108
1473817342288,9956,108
1473817342308,9938,108
1473817342328,9929,108
1473817342348,9895,108
